
Joint Seat Allocation Authority 2025
IITs, NITs, IIEST, IIITs and Other-GFTIs for the Academic Year 2025-26

Opening/Closing Ranks for Open Seats represent CRL. Opening/Closing Ranks for EWS, OBC-NCL, SC and ST Seats represent respective Category Ranks. Opening/Closing Ranks for PwD Seats represent PwD Ranks within Respective Categories.

If the Closing/Opening rank has a suffix 'P', it indicates that the corresponding rank is from Preparatory Rank List.
Institute	Academic Program Name	Quota	Seat Type	Gender	Opening Rank	Closing Rank
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Gender-Neutral 	10922 	16156
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Female-only (including Supernumerary) 	19820 	23960
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	EWS 	Gender-Neutral 	2214 	2346
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	EWS 	Female-only (including Supernumerary) 	3688 	3698
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Gender-Neutral 	4402 	5414
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Female-only (including Supernumerary) 	8189 	8600
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	SC 	Gender-Neutral 	2203 	2872
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	SC 	Female-only (including Supernumerary) 	2833 	3644
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	ST 	Gender-Neutral 	883 	1093
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	ST 	Female-only (including Supernumerary) 	1402 	1429
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Gender-Neutral 	2344 	4162
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Female-only (including Supernumerary) 	4082 	6467
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN (PwD) 	Female-only (including Supernumerary) 	50P 	50P
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	EWS 	Gender-Neutral 	426 	538
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	EWS 	Female-only (including Supernumerary) 	923 	1035
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Gender-Neutral 	984 	1510
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Female-only (including Supernumerary) 	2515 	3264
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL (PwD) 	Gender-Neutral 	54 	54
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	SC 	Gender-Neutral 	344 	747
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	SC 	Female-only (including Supernumerary) 	1158 	1330
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	ST 	Gender-Neutral 	136 	265
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	ST 	Female-only (including Supernumerary) 	663 	663
Indian Institute of Technology Bhubaneswar	Electrical Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Gender-Neutral 	5974 	8165
Indian Institute of Technology Bhubaneswar	Electrical Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Female-only (including Supernumerary) 	13141 	16009
Indian Institute of Technology Bhubaneswar	Electrical Engineering (4 Years, Bachelor of Technology) 	AI 	EWS 	Gender-Neutral 	1077 	1224
Indian Institute of Technology Bhubaneswar	Electrical Engineering (4 Years, Bachelor of Technology) 	AI 	EWS 	Female-only (including Supernumerary) 	2525 	2530
Indian Institute of Technology Bhubaneswar	Electrical Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Gender-Neutral 	2573 	3215
Indian Institute of Technology Bhubaneswar	Electrical Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Female-only (including Supernumerary) 	5062 	5488
Indian Institute of Technology Bhubaneswar	Electrical Engineering (4 Years, Bachelor of Technology) 	AI 	SC 	Gender-Neutral 	1524 	1828
Indian Institute of Technology Bhubaneswar	Electrical Engineering (4 Years, Bachelor of Technology) 	AI 	SC 	Female-only (including Supernumerary) 	2175 	2175
Indian Institute of Technology Bhubaneswar	Electrical Engineering (4 Years, Bachelor of Technology) 	AI 	ST 	Gender-Neutral 	552 	919
Indian Institute of Technology Bhubaneswar	Electrical Engineering (4 Years, Bachelor of Technology) 	AI 	ST 	Female-only (including Supernumerary) 	846 	846
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Gender-Neutral 	3873 	5885
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Female-only (including Supernumerary) 	8993 	10965
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN (PwD) 	Gender-Neutral 	192 	192
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology) 	AI 	EWS 	Gender-Neutral 	671 	817
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology) 	AI 	EWS 	Female-only (including Supernumerary) 	1429 	1429
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Gender-Neutral 	1763 	2248
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Female-only (including Supernumerary) 	3747 	4785
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL (PwD) 	Female-only (including Supernumerary) 	69P 	69P
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology) 	AI 	SC 	Gender-Neutral 	987 	1481
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology) 	AI 	SC 	Female-only (including Supernumerary) 	1476 	1476
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology) 	AI 	ST 	Gender-Neutral 	511 	563
Indian Institute of Technology Bhubaneswar	Electronics and Communication Engineering (4 Years, Bachelor of Technology) 	AI 	ST 	Female-only (including Supernumerary) 	830 	830
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology) 	AI 	OPEN 	Gender-Neutral 	9525 	12466
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology) 	AI 	OPEN 	Female-only (including Supernumerary) 	21659 	22403
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology) 	AI 	EWS 	Gender-Neutral 	1931 	2184
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Gender-Neutral 	3628 	4834
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Female-only (including Supernumerary) 	6849 	6849
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology) 	AI 	SC 	Gender-Neutral 	2568 	2874
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology) 	AI 	SC 	Female-only (including Supernumerary) 	3531 	3531
Indian Institute of Technology Bhubaneswar	Engineering Physics (4 Years, Bachelor of Technology) 	AI 	ST 	Gender-Neutral 	1221 	1221
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology) 	AI 	OPEN 	Gender-Neutral 	4174 	4708
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology) 	AI 	OPEN 	Female-only (including Supernumerary) 	7679 	8804
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology) 	AI 	EWS 	Gender-Neutral 	739 	770
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Gender-Neutral 	1664 	2092
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Female-only (including Supernumerary) 	4715 	4715
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology) 	AI 	SC 	Gender-Neutral 	989 	1200
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology) 	AI 	SC 	Female-only (including Supernumerary) 	2114 	2114
Indian Institute of Technology Bhubaneswar	Mathematics and Computing (4 Years, Bachelor of Technology) 	AI 	ST 	Gender-Neutral 	619 	769
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Gender-Neutral 	7759 	11678
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Female-only (including Supernumerary) 	17144 	20366
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN (PwD) 	Gender-Neutral 	154P 	154P
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology) 	AI 	EWS 	Gender-Neutral 	1573 	1717
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology) 	AI 	EWS 	Female-only (including Supernumerary) 	2880 	3157
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Gender-Neutral 	3085 	4142
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Female-only (including Supernumerary) 	6760 	7664
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology) 	AI 	SC 	Gender-Neutral 	1859 	2479
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology) 	AI 	SC 	Female-only (including Supernumerary) 	3073 	3388
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology) 	AI 	ST 	Gender-Neutral 	915 	1134
Indian Institute of Technology Bhubaneswar	Mechanical Engineering (4 Years, Bachelor of Technology) 	AI 	ST 	Female-only (including Supernumerary) 	1532 	1578
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Gender-Neutral 	11591 	16268
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Female-only (including Supernumerary) 	21631 	22981
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) 	AI 	EWS 	Gender-Neutral 	2436 	2514
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Gender-Neutral 	5336 	5774
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Female-only (including Supernumerary) 	8849 	9160
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) 	AI 	SC 	Gender-Neutral 	2742 	3054
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) 	AI 	SC 	Female-only (including Supernumerary) 	3877 	3877
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) 	AI 	ST 	Gender-Neutral 	1195 	1406
Indian Institute of Technology Bhubaneswar	Metallurgical and Materials Engineering (4 Years, Bachelor of Technology) 	AI 	ST 	Female-only (including Supernumerary) 	1764 	1764
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Gender-Neutral 	1195 	2361
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Female-only (including Supernumerary) 	4812 	5994
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology) 	AI 	EWS 	Gender-Neutral 	297 	489
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology) 	AI 	EWS 	Female-only (including Supernumerary) 	1160 	1160
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology) 	AI 	EWS (PwD) 	Gender-Neutral 	41 	41
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Gender-Neutral 	928 	1295
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Female-only (including Supernumerary) 	2823 	3571
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL (PwD) 	Female-only (including Supernumerary) 	75P 	75P
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology) 	AI 	SC 	Gender-Neutral 	238 	703
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology) 	AI 	SC 	Female-only (including Supernumerary) 	459 	1252
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology) 	AI 	ST 	Gender-Neutral 	315 	474
Indian Institute of Technology Bombay	Aerospace Engineering (4 Years, Bachelor of Technology) 	AI 	ST 	Female-only (including Supernumerary) 	684 	684
Indian Institute of Technology Bombay	Applied Geophysics (4 Years, Bachelor of Science) 	AI 	OPEN 	Gender-Neutral 	6087 	8343
Indian Institute of Technology Bombay	Applied Geophysics (4 Years, Bachelor of Science) 	AI 	OPEN 	Female-only (including Supernumerary) 	13688 	13761
Indian Institute of Technology Bombay	Applied Geophysics (4 Years, Bachelor of Science) 	AI 	EWS 	Gender-Neutral 	1123 	1311
Indian Institute of Technology Bombay	Applied Geophysics (4 Years, Bachelor of Science) 	AI 	EWS 	Female-only (including Supernumerary) 	2839 	2839
Indian Institute of Technology Bombay	Applied Geophysics (4 Years, Bachelor of Science) 	AI 	OBC-NCL 	Gender-Neutral 	2786 	4014
Indian Institute of Technology Bombay	Applied Geophysics (4 Years, Bachelor of Science) 	AI 	OBC-NCL 	Female-only (including Supernumerary) 	5934 	5934
Indian Institute of Technology Bombay	Applied Geophysics (4 Years, Bachelor of Science) 	AI 	SC 	Gender-Neutral 	2140 	2370
Indian Institute of Technology Bombay	Applied Geophysics (4 Years, Bachelor of Science) 	AI 	SC 	Female-only (including Supernumerary) 	2950 	2950
Indian Institute of Technology Bombay	Applied Geophysics (4 Years, Bachelor of Science) 	AI 	ST 	Gender-Neutral 	1063 	1070
Indian Institute of Technology Bombay	Applied Geophysics (4 Years, Bachelor of Science) 	AI 	ST 	Female-only (including Supernumerary) 	1581 	1581
Indian Institute of Technology Bombay	BS in Mathematics (4 Years, Bachelor of Science) 	AI 	OPEN 	Gender-Neutral 	753 	1067
Indian Institute of Technology Bombay	BS in Mathematics (4 Years, Bachelor of Science) 	AI 	OPEN 	Female-only (including Supernumerary) 	3432 	3432
Indian Institute of Technology Bombay	BS in Mathematics (4 Years, Bachelor of Science) 	AI 	EWS 	Gender-Neutral 	397 	397
Indian Institute of Technology Bombay	BS in Mathematics (4 Years, Bachelor of Science) 	AI 	EWS 	Female-only (including Supernumerary) 	1085 	1085
Indian Institute of Technology Bombay	BS in Mathematics (4 Years, Bachelor of Science) 	AI 	OBC-NCL 	Gender-Neutral 	742 	1018
Indian Institute of Technology Bombay	BS in Mathematics (4 Years, Bachelor of Science) 	AI 	OBC-NCL 	Female-only (including Supernumerary) 	4453 	4453
Indian Institute of Technology Bombay	BS in Mathematics (4 Years, Bachelor of Science) 	AI 	OBC-NCL (PwD) 	Gender-Neutral 	56P 	56P
Indian Institute of Technology Bombay	BS in Mathematics (4 Years, Bachelor of Science) 	AI 	SC 	Gender-Neutral 	556 	1147
Indian Institute of Technology Bombay	BS in Mathematics (4 Years, Bachelor of Science) 	AI 	SC 	Female-only (including Supernumerary) 	1771 	1771
Indian Institute of Technology Bombay	BS in Mathematics (4 Years, Bachelor of Science) 	AI 	ST 	Gender-Neutral 	557 	557
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Gender-Neutral 	601 	2464
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Female-only (including Supernumerary) 	4813 	5969
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN (PwD) 	Gender-Neutral 	176 	176
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN (PwD) 	Female-only (including Supernumerary) 	198 	198
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology) 	AI 	EWS 	Gender-Neutral 	385 	500
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology) 	AI 	EWS 	Female-only (including Supernumerary) 	1139 	1152
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology) 	AI 	EWS (PwD) 	Gender-Neutral 	23P 	23P
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Gender-Neutral 	800 	1255
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Female-only (including Supernumerary) 	2840 	3552
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL (PwD) 	Gender-Neutral 	86P 	86P
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology) 	AI 	SC 	Gender-Neutral 	443 	735
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology) 	AI 	SC 	Female-only (including Supernumerary) 	1124 	1242
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology) 	AI 	SC (PwD) 	Gender-Neutral 	9 	9
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology) 	AI 	ST 	Gender-Neutral 	308 	469
Indian Institute of Technology Bombay	Chemical Engineering (4 Years, Bachelor of Technology) 	AI 	ST 	Female-only (including Supernumerary) 	523 	649
Indian Institute of Technology Bombay	Chemistry (4 Years, Bachelor of Science) 	AI 	OPEN 	Gender-Neutral 	3133 	7228
Indian Institute of Technology Bombay	Chemistry (4 Years, Bachelor of Science) 	AI 	OPEN 	Female-only (including Supernumerary) 	9368 	10435
Indian Institute of Technology Bombay	Chemistry (4 Years, Bachelor of Science) 	AI 	EWS 	Gender-Neutral 	986 	1353
Indian Institute of Technology Bombay	Chemistry (4 Years, Bachelor of Science) 	AI 	EWS 	Female-only (including Supernumerary) 	2621 	2621
Indian Institute of Technology Bombay	Chemistry (4 Years, Bachelor of Science) 	AI 	OBC-NCL 	Gender-Neutral 	2801 	3637
Indian Institute of Technology Bombay	Chemistry (4 Years, Bachelor of Science) 	AI 	OBC-NCL 	Female-only (including Supernumerary) 	6467 	6573
Indian Institute of Technology Bombay	Chemistry (4 Years, Bachelor of Science) 	AI 	SC 	Gender-Neutral 	1436 	2164
Indian Institute of Technology Bombay	Chemistry (4 Years, Bachelor of Science) 	AI 	SC 	Female-only (including Supernumerary) 	719 	719
Indian Institute of Technology Bombay	Chemistry (4 Years, Bachelor of Science) 	AI 	ST 	Gender-Neutral 	910 	1140
Indian Institute of Technology Bombay	Chemistry (4 Years, Bachelor of Science) 	AI 	ST 	Female-only (including Supernumerary) 	1540 	1540
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Gender-Neutral 	2666 	4250
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Female-only (including Supernumerary) 	6085 	8597
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN (PwD) 	Gender-Neutral 	62 	202
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	EWS 	Gender-Neutral 	522 	725
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	EWS 	Female-only (including Supernumerary) 	1442 	1643
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	EWS (PwD) 	Gender-Neutral 	10P 	10P
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Gender-Neutral 	973 	1829
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL 	Female-only (including Supernumerary) 	3469 	4597
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	OBC-NCL (PwD) 	Gender-Neutral 	80 	30P
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	SC 	Gender-Neutral 	444 	946
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	SC 	Female-only (including Supernumerary) 	824 	1778
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	ST 	Gender-Neutral 	23 	290
Indian Institute of Technology Bombay	Civil Engineering (4 Years, Bachelor of Technology) 	AI 	ST 	Female-only (including Supernumerary) 	294 	522
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Gender-Neutral 	1 	66
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN 	Female-only (including Supernumerary) 	29 	369
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN (PwD) 	Gender-Neutral 	1 	4
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	OPEN (PwD) 	Female-only (including Supernumerary) 	12 	12
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	EWS 	Gender-Neutral 	5 	20
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	EWS 	Female-only (including Supernumerary) 	38 	53
Indian Institute of Technology Bombay	Computer Science and Engineering (4 Years, Bachelor of Technology) 	AI 	EWS (PwD) 	Gender-Neutral 	3 	3
